ngram	w1	w2	w3	w4	w5	n
dirinya_waktu_itu_sedang_melakukan	dirinya	waktu	itu	sedang	melakukan	1
dirkan_inovasi_dari_waktu_ke	dirkan	inovasi	dari	waktu	ke	1
disaat_waktu_dan_di-momen_yang	disaat	waktu	dan	di-momen	yang	1
disaat_waktu_yang_diberikan_oleh	disaat	waktu	yang	diberikan	oleh	1
disah-kan_dalam_waktu_dekat_ini	disah-kan	dalam	waktu	dekat	ini	1
disahkan_baru_beberapa_waktu_lalu	disahkan	baru	beberapa	waktu	lalu	1
disahkan_da-lam_waktu_dekat_ini	disahkan	da-lam	waktu	dekat	ini	1
disahkan_dalam_waktu_dekat_maka	disahkan	dalam	waktu	dekat	maka	1
disahkan_oleh_legislatif_waktu_lalu	disahkan	oleh	legislatif	waktu	lalu	1
disalurkan_beberapa_waktu_lalu_di	disalurkan	beberapa	waktu	lalu	di	1
disalurkan_dalam_waktu_dekat_ini	disalurkan	dalam	waktu	dekat	ini	1
disalurkan_perseroan_dalam_kurun_waktu	disalurkan	perseroan	dalam	kurun	waktu	1
disam-bungkan_dengan_pengatur_waktu_otomat	disam-bungkan	dengan	pengatur	waktu	otomat	1
disam-paikan_beberapa_waktu_lalu_dan	disam-paikan	beberapa	waktu	lalu	dan	1
disam-paikan_beberapa_waktu_lalu_saat	disam-paikan	beberapa	waktu	lalu	saat	1
disampaikan_beberapa_waktu_lalu_ketika	disampaikan	beberapa	waktu	lalu	ketika	1
disampaikan_beberapa_waktu_lalu_pada	disampaikan	beberapa	waktu	lalu	pada	1
disampaikan_beberapa_waktu_lalu_tercatat	disampaikan	beberapa	waktu	lalu	tercatat	1
disampaikan_pada_saat_kampanye_waktu	disampaikan	pada	saat	kampanye	waktu	1
disampaikan_pimpinan_dewan_da-lam_waktu	disampaikan	pimpinan	dewan	da-lam	waktu	1
disampaikan_rektor_beberapa_waktu_lalu	disampaikan	rektor	beberapa	waktu	lalu	1
disampaikannya_beberapa_waktu_lalu_menurut	disampaikannya	beberapa	waktu	lalu	menurut	1
disampaikannya_beberapa_waktu_lalu_saat	disampaikannya	beberapa	waktu	lalu	saat	1
disamping_dapat_menghemat_waktu_dan	disamping	dapat	menghemat	waktu	dan	1
disapa_meminta_waktu_satu_minggu	disapa	meminta	waktu	satu	minggu	1
disayangkan_pada_waktu_itu_tidak	disayangkan	pada	waktu	itu	tidak	1
dise-babkan_ada_rentang_waktu_yang	dise-babkan	ada	rentang	waktu	yang	1
disebabkan_oleh_cuaca_beberapa_waktu	disebabkan	oleh	cuaca	beberapa	waktu	1
disebabkan_waktu_dan_kesedihan_membentuk	disebabkan	waktu	dan	kesedihan	membentuk	1
disebut_sangat_tepat_waktu_bahkan	disebut	sangat	tepat	waktu	bahkan	1
disebut_sebagai_waktu_dan_bukan	disebut	sebagai	waktu	dan	bukan	1
disebutkan_batas_waktu_penggunaan_tanah	disebutkan	batas	waktu	penggunaan	tanah	1
disebutkan_soal_batas_waktu_pelaksanaan	disebutkan	soal	batas	waktu	pelaksanaan	1
disediakan_oleh_pemkot_waktu_itu	disediakan	oleh	pemkot	waktu	itu	1
disediakan_tidak_butuh_waktu_lama	disediakan	tidak	butuh	waktu	lama	1
disediakan_waktu_bulan_mengejar_tahapan	disediakan	waktu	bulan	mengejar	tahapan	1
disediakan_waktu_untuk_ganti_pakaian	disediakan	waktu	untuk	ganti	pakaian	1
disekitarnya_akan_ditu-tup_sementara_waktu	disekitarnya	akan	ditu-tup	sementara	waktu	1
diselamatkan_pada_pukul_waktu_setempat	diselamatkan	pada	pukul	waktu	setempat	1
disele-saikan_sesuai_target_waktu_yang	disele-saikan	sesuai	target	waktu	yang	1
diselenggarakan_tepat_waktu_karena_masalah	diselenggarakan	tepat	waktu	karena	masalah	1
diselesaikan_da-lam_waktu_dua_tahun	diselesaikan	da-lam	waktu	dua	tahun	1
diselesaikan_dalam_rangka_waktu_tersebut	diselesaikan	dalam	rangka	waktu	tersebut	1
diselesaikan_dalam_waktu_dua_hari	diselesaikan	dalam	waktu	dua	hari	1
diselesaikan_dalam_waktu_satu_tahun	diselesaikan	dalam	waktu	satu	tahun	1
diselesaikan_dalam_waktu_tak_lama	diselesaikan	dalam	waktu	tak	lama	1
diselesaikan_dalam_waktu_yang_dekat	diselesaikan	dalam	waktu	yang	dekat	1
diselesaikan_hanya_dalam_jangka_waktu	diselesaikan	hanya	dalam	jangka	waktu	1
diselesaikan_maka_waktu_kerja_tim	diselesaikan	maka	waktu	kerja	tim	1
diselesaikan_pemerintah_dalam_waktu_dekat	diselesaikan	pemerintah	dalam	waktu	dekat	1
diselesaikan_satu_hari_butuh_waktu	diselesaikan	satu	hari	butuh	waktu	1
diselesaikan_se-suai_waktu_yang_sudah	diselesaikan	se-suai	waktu	yang	sudah	1
diselesaikan_sesuai_waktu_yang_disepakati	diselesaikan	sesuai	waktu	yang	disepakati	1
diselesaikan_sesuai_waktu_yang_telah	diselesaikan	sesuai	waktu	yang	telah	1
diselesaikan_tepat_waktu_dan_capaiannya	diselesaikan	tepat	waktu	dan	capaiannya	1
diselesaikan_tepat_waktu_dan_memberikan	diselesaikan	tepat	waktu	dan	memberikan	1
disentuh_dan_membutuhkan_waktu_jam	disentuh	dan	membutuhkan	waktu	jam	1
disepakati_dalam_pertemuan_beberapa_waktu	disepakati	dalam	pertemuan	beberapa	waktu	1
disepakati_dalam_waktu_enam_bulan	disepakati	dalam	waktu	enam	bulan	1
disepakati_dalam_waktu_yang_lebih	disepakati	dalam	waktu	yang	lebih	1
diserahkan_dalam_waktu_dekat_ini	diserahkan	dalam	waktu	dekat	ini	1
diserahkan_kepada_pengguna_ya_waktu	diserahkan	kepada	pengguna	ya	waktu	1
diserahkan_kepada_penyidik_beberapa_waktu	diserahkan	kepada	penyidik	beberapa	waktu	1
diserahkan_pada_saat_waktu_penerimaan	diserahkan	pada	saat	waktu	penerimaan	1
diserahkan_sejak_beberapa_waktu_lalu	diserahkan	sejak	beberapa	waktu	lalu	1
diserahkan_sesuai_dengan_waktu_yang	diserahkan	sesuai	dengan	waktu	yang	1
diserang_dalam_kurun_waktu_setahun	diserang	dalam	kurun	waktu	setahun	1
diserbu_konsumen_dalam_jangka_waktu	diserbu	konsumen	dalam	jangka	waktu	1
diserbu_pembeli_hanya_dalam_waktu	diserbu	pembeli	hanya	dalam	waktu	1
disertai_angin_kencang_beberapa_waktu	disertai	angin	kencang	beberapa	waktu	1
disertai_bukti_tertulis_beberapa_waktu	disertai	bukti	tertulis	beberapa	waktu	1
disertifikasi_dalam_waktu_tahun_ke	disertifikasi	dalam	waktu	tahun	ke	1
disesuaikan_dengan_batas_waktu_tinggal	disesuaikan	dengan	batas	waktu	tinggal	1
disesuaikan_dengan_waktu_mendaftar_atau	disesuaikan	dengan	waktu	mendaftar	atau	1
disesuaikan_dengan_waktu_mereka_imbuh	disesuaikan	dengan	waktu	mereka	imbuh	1
disesuaikan_kebutuhan_rentang_waktu_dari	disesuaikan	kebutuhan	rentang	waktu	dari	1
disesuikan_dengan_waktu_sahur_dan	disesuikan	dengan	waktu	sahur	dan	1
disetujui_dalam_waktu_bersamaan_kata	disetujui	dalam	waktu	bersamaan	kata	1
disiapkan_dimana_waktu_pelaksanaan_akan	disiapkan	dimana	waktu	pelaksanaan	akan	1
disiapkan_sehingga_da-pat_memenuhi_waktu	disiapkan	sehingga	da-pat	memenuhi	waktu	1
disiapkan_sejak_beberapa_waktu_lalu	disiapkan	sejak	beberapa	waktu	lalu	1
disiapkan_tersebut_dalam_jangka_waktu	disiapkan	tersebut	dalam	jangka	waktu	1
disiapkan_waktu_itu_mestinya_bisa	disiapkan	waktu	itu	mestinya	bisa	1
disibukkan_dengan_tugas-tugas_kenegaraan_waktu	disibukkan	dengan	tugas-tugas	kenegaraan	waktu	1
disidang-kan_dalam_waktu_dekat_ini	disidang-kan	dalam	waktu	dekat	ini	1
disidangkan_beberapa_waktu_lalu_di	disidangkan	beberapa	waktu	lalu	di	1
disikapi_pihaknya_yakni_dalam_waktu	disikapi	pihaknya	yakni	dalam	waktu	1
disimpan_dalam_waktu_tiga_bulan	disimpan	dalam	waktu	tiga	bulan	1
disimpan_dalam_waktu_yang_lama	disimpan	dalam	waktu	yang	lama	1
disimpan_waktu_yang_tidak_terbatas	disimpan	waktu	yang	tidak	terbatas	1
disimpulkan_waktu_dua_kencan_sekaligus	disimpulkan	waktu	dua	kencan	sekaligus	1
disiplin_beribadah_sholat_tepat_waktu	disiplin	beribadah	sholat	tepat	waktu	1
disiplin_kata_dia_beberapa_waktu	disiplin	kata	dia	beberapa	waktu	1
disiplin_latian_disiplin_waktu_belajar	disiplin	latian	disiplin	waktu	belajar	1
disiplin_waktu_belajar_bekerja_sama	disiplin	waktu	belajar	bekerja	sama	1
disiplin_waktu_dan_ber-bagai_alasan	disiplin	waktu	dan	ber-bagai	alasan	1
disiplin_waktu_ini_juga_harus	disiplin	waktu	ini	juga	harus	1
disiplin_waktu_makan_dan_mandi	disiplin	waktu	makan	dan	mandi	1
disiplin_waktu_saat_menjalankan_tugas	disiplin	waktu	saat	menjalankan	tugas	1
disiplin_waktu_seharusnya_selalu_diterapkan	disiplin	waktu	seharusnya	selalu	diterapkan	1
disiplin_waktu_tapi_juga_disiplin	disiplin	waktu	tapi	juga	disiplin	1
disiplin_waktu_tuturnya_juga_menjadi	disiplin	waktu	tuturnya	juga	menjadi	1
disipllin_dan_tepat_waktu_saat	disipllin	dan	tepat	waktu	saat	1
disita_polisi_beberapa_waktu_lalu	disita	polisi	beberapa	waktu	lalu	1
diskors_tanpa_batas_waktu_yang	diskors	tanpa	batas	waktu	yang	1
diskorsing_untuk_sementara_waktu_dan	diskorsing	untuk	sementara	waktu	dan	1
diskusi_dalam_waktu_dekat_ini	diskusi	dalam	waktu	dekat	ini	1
diskusi_di_@Amerika_beberapa_waktu	diskusi	di	@Amerika	beberapa	waktu	1
diskusi_ilmiah_dalam_waktu_dekat	diskusi	ilmiah	dalam	waktu	dekat	1
disorot_karena_tak_menggunakan_waktu	disorot	karena	tak	menggunakan	waktu	1
disosialisasikan_ke_sekolah_beberapa_waktu	disosialisasikan	ke	sekolah	beberapa	waktu	1
disosialisasikan_kepada_masyarakat_dalam_waktu	disosialisasikan	kepada	masyarakat	dalam	waktu	1
dispensasi_peng-unduran_waktu_setengah_jam	dispensasi	peng-unduran	waktu	setengah	jam	1
disukai_katanya_beberapa_waktu_lalu	disukai	katanya	beberapa	waktu	lalu	1
disuplai_tepat_waktu_harapnya_kemarin	disuplai	tepat	waktu	harapnya	kemarin	1
disuruh_nyari_pen-dapatan_di_waktu	disuruh	nyari	pen-dapatan	di	waktu	1
disyukuri_meski_waktu_bersama_keluarga	disyukuri	meski	waktu	bersama	keluarga	1
dita-nya_beberapa_waktu_lalu_ten-tang	dita-nya	beberapa	waktu	lalu	ten-tang	1
ditabrak_truk_pukul_waktu_setempat	ditabrak	truk	pukul	waktu	setempat	1
ditahan_aku_sumber_waktu_itu	ditahan	aku	sumber	waktu	itu	1
ditahan_beberapa_waktu_sehingga_menghambat	ditahan	beberapa	waktu	sehingga	menghambat	1
ditakutkan_guru_hanya_mengejar_waktu	ditakutkan	guru	hanya	mengejar	waktu	1
ditambah_dalam_waktu_dekat_ini	ditambah	dalam	waktu	dekat	ini	1
ditambah_dari_waktu_ke_waktu	ditambah	dari	waktu	ke	waktu	1
ditambah_lagi_dalam_waktu_dekat	ditambah	lagi	dalam	waktu	dekat	1
ditambah_waktu_latiahn_koor_bagi	ditambah	waktu	latiahn	koor	bagi	1
ditambahkan_berturut-turut_dalam_kurun_waktu	ditambahkan	berturut-turut	dalam	kurun	waktu	1
ditanam_beberapa_waktu_lalu_kata	ditanam	beberapa	waktu	lalu	kata	1
ditanam_padi_kalau_ada_waktu	ditanam	padi	kalau	ada	waktu	1
ditanam_secara_serentak_dalam_waktu	ditanam	secara	serentak	dalam	waktu	1
ditandatangani_dalam_waktu_dekat_ini	ditandatangani	dalam	waktu	dekat	ini	1
ditandatanganinya_peraturan_itu_dalam_waktu	ditandatanganinya	peraturan	itu	dalam	waktu	1
ditanggul_yang_waktu_itu_biaya	ditanggul	yang	waktu	itu	biaya	1
ditangkap_dalam_kurun_waktu_meningkat	ditangkap	dalam	kurun	waktu	meningkat	1
ditangkap_dalam_rentang_waktu_pukul	ditangkap	dalam	rentang	waktu	pukul	1
ditangkap_dalam_waktu_hampir_bersamaan	ditangkap	dalam	waktu	hampir	bersamaan	1
ditangkap_dalam_waktu_jam_dari	ditangkap	dalam	waktu	jam	dari	1
ditangkap_dalam_waktu_yang_tak	ditangkap	dalam	waktu	yang	tak	1
ditangkap_di_tempat_dan_waktu	ditangkap	di	tempat	dan	waktu	1
ditangkap_hanya_dalam_waktu_jam	ditangkap	hanya	dalam	waktu	jam	1
ditangkap_maka_dipastikan_dalam_waktu	ditangkap	maka	dipastikan	dalam	waktu	1
ditangkap_orang_pada_rentang_waktu	ditangkap	orang	pada	rentang	waktu	1
ditanya_apakah_sedang_menik-mati_waktu	ditanya	apakah	sedang	menik-mati	waktu	1
ditanya_apakah_waktu_penga-juan_selama	ditanya	apakah	waktu	penga-juan	selama	1
ditanya_mengenai_batas_waktu_konsesi	ditanya	mengenai	batas	waktu	konsesi	1
ditanya_mengenai_mepetnya_waktu_sehubungan	ditanya	mengenai	mepetnya	waktu	sehubungan	1
ditanya_mengenai_waktu_pengiriman_utusan	ditanya	mengenai	waktu	pengiriman	utusan	1
ditanya_prediksi_waktu_pemulihan_cedera	ditanya	prediksi	waktu	pemulihan	cedera	1
ditanya_soal_waktu_yang_tepat	ditanya	soal	waktu	yang	tepat	1
ditanyai_soal_kepastian_waktu_penyalur-an	ditanyai	soal	kepastian	waktu	penyalur-an	1
ditanyakan_dugaan_waktu_kematian_korban	ditanyakan	dugaan	waktu	kematian	korban	1
ditanyakan_oleh_wartawan_beberapa_waktu	ditanyakan	oleh	wartawan	beberapa	waktu	1
ditarget-kan_dalam_waktu_dekat_sudah	ditarget-kan	dalam	waktu	dekat	sudah	1
ditargetkan_dalam_waktu_dua_pekan	ditargetkan	dalam	waktu	dua	pekan	1
ditargetkan_selesai_dalam_waktu_tiga	ditargetkan	selesai	dalam	waktu	tiga	1
ditarik_untuk_sementara_waktu_jelas	ditarik	untuk	sementara	waktu	jelas	1
ditawarkan_gereja_waktu_itu_hanya	ditawarkan	gereja	waktu	itu	hanya	1
ditawarkan_untuk_mengha-biskan_waktu_libuaran	ditawarkan	untuk	mengha-biskan	waktu	libuaran	1
ditebang_hingga_kurun_waktu_tertentu	ditebang	hingga	kurun	waktu	tertentu	1
ditegaskan_bahwa_dalam_batas_waktu	ditegaskan	bahwa	dalam	batas	waktu	1
ditekuni_dalam_waktu_relatif_lama	ditekuni	dalam	waktu	relatif	lama	1
ditelusuri_pada_sapi_dalam_waktu	ditelusuri	pada	sapi	dalam	waktu	1
ditembus_dalam_beberapa_waktu_mendatang	ditembus	dalam	beberapa	waktu	mendatang	1
ditempat_kedua_dengan_selisih_waktu	ditempat	kedua	dengan	selisih	waktu	1
ditempati_da-lam_waktu_dekat_ini	ditempati	da-lam	waktu	dekat	ini	1
ditempati_dan_sementara_waktu_anak	ditempati	dan	sementara	waktu	anak	1
ditempati_untuk_sementara_waktu_ia	ditempati	untuk	sementara	waktu	ia	1
ditempatkan_dalam_waktu_dekat_dan	ditempatkan	dalam	waktu	dekat	dan	1
ditempuh_dalam_waktu_hanya_setengah	ditempuh	dalam	waktu	hanya	setengah	1
ditempuh_dalam_waktu_jam_lewat	ditempuh	dalam	waktu	jam	lewat	1
ditempuh_dalam_waktu_lima_jam	ditempuh	dalam	waktu	lima	jam	1
ditempuh_dalam_waktu_menit_dari	ditempuh	dalam	waktu	menit	dari	1
ditempuh_dalam_waktu_menit_sebelumnya	ditempuh	dalam	waktu	menit	sebelumnya	1
ditempuh_dalam_waktu_menit_sehingga	ditempuh	dalam	waktu	menit	sehingga	1
ditempuh_dalam_waktu_satu_setengah	ditempuh	dalam	waktu	satu	setengah	1
ditempuh_dalam_waktu_sekitar_empat	ditempuh	dalam	waktu	sekitar	empat	1
ditempuh_dalam_waktu_yang_singkat	ditempuh	dalam	waktu	yang	singkat	1
ditempuh_dengan_waktu_sekitar_empat	ditempuh	dengan	waktu	sekitar	empat	1
ditempuh_dengan_waktu_sekitar_jam	ditempuh	dengan	waktu	sekitar	jam	1
ditempuh_melalui_kapal_dalam_waktu	ditempuh	melalui	kapal	dalam	waktu	1
ditemui_beberapa_waktu_lalu_beralasan	ditemui	beberapa	waktu	lalu	beralasan	1
ditemui_beberapa_waktu_lalu_dalam	ditemui	beberapa	waktu	lalu	dalam	1
ditemui_beberapa_waktu_lalu_mengata-kan	ditemui	beberapa	waktu	lalu	mengata-kan	1
ditemui_beebrapa_waktu_lalu_beralsan	ditemui	beebrapa	waktu	lalu	beralsan	1
ditemui_di_kediamannya_beberapa_waktu	ditemui	di	kediamannya	beberapa	waktu	1
ditemui_orang_untuk_sementara_waktu	ditemui	orang	untuk	sementara	waktu	1
ditemui_warta-wan_beberapa_waktu_lalu	ditemui	warta-wan	beberapa	waktu	lalu	1
ditemukan_adanya_ak-tivitas_sesuai_waktu	ditemukan	adanya	ak-tivitas	sesuai	waktu	1
ditemukan_adanya_aktivitas_sesuai_waktu	ditemukan	adanya	aktivitas	sesuai	waktu	1
ditemukan_dalam_waktu_yang_berbeda	ditemukan	dalam	waktu	yang	berbeda	1
ditemukan_itu_kan_waktu_di	ditemukan	itu	kan	waktu	di	1
ditemukan_kasus_jarak_dan_waktu	ditemukan	kasus	jarak	dan	waktu	1
ditentukan_beberapa_waktu_lalu_membuat	ditentukan	beberapa	waktu	lalu	membuat	1
ditentukan_dan_menilai_waktu_yang	ditentukan	dan	menilai	waktu	yang	1
ditentukan_meskipun_waktu_tersebut_merupakan	ditentukan	meskipun	waktu	tersebut	merupakan	1
diterapkan_maka_dalam_waktu_dekat	diterapkan	maka	dalam	waktu	dekat	1
diterapkan_sejak_meningkat_dari_waktu	diterapkan	sejak	meningkat	dari	waktu	1
diterbitkan_dalam_jangka_waktu_paling	diterbitkan	dalam	jangka	waktu	paling	1
diterbitkan_memi-liki_waktu_kontrak_dua	diterbitkan	memi-liki	waktu	kontrak	dua	1
diterbitkan_memiliki_waktu_kontrak_dua	diterbitkan	memiliki	waktu	kontrak	dua	1
diterima_harian_ini_dalam_waktu	diterima	harian	ini	dalam	waktu	1
diterima_ini_bukan_waktu_yang	diterima	ini	bukan	waktu	yang	1
diterima_pihaknya_beberapa_waktu_lalu	diterima	pihaknya	beberapa	waktu	lalu	1
diterima_sekitar_pukul_waktu_setempat	diterima	sekitar	pukul	waktu	setempat	1
diterima_semua_adalah_soal_waktu	diterima	semua	adalah	soal	waktu	1
diterima_tepat_waktu_pelaksanaan_rakor	diterima	tepat	waktu	pelaksanaan	rakor	1
diterima_warga_dalam_waktu_dua	diterima	warga	dalam	waktu	dua	1
diterjang_banjir_beberapa_waktu_lalu	diterjang	banjir	beberapa	waktu	lalu	1
diterlan-tarkan_maka_pihaknya_dalam_waktu	diterlan-tarkan	maka	pihaknya	dalam	waktu	1
ditertibkan_waktu_lalu_cuma_sekarang	ditertibkan	waktu	lalu	cuma	sekarang	1
diteruskan_ke_fase_tambahan_waktu	diteruskan	ke	fase	tambahan	waktu	1
ditetapkan_dalam_waktu_dekat_ini	ditetapkan	dalam	waktu	dekat	ini	1
ditetapkan_dalam_waktu_dekat_lanjutnya	ditetapkan	dalam	waktu	dekat	lanjutnya	1
ditetapkan_dalam_waktu_seminggu_tim	ditetapkan	dalam	waktu	seminggu	tim	1
ditetapkan_hari_ini_merupakan_waktu	ditetapkan	hari	ini	merupakan	waktu	1
ditetapkan_menjadi_tersangka_di_waktu	ditetapkan	menjadi	tersangka	di	waktu	1
ditetapkan_sebagai_batas_waktu_terakhir	ditetapkan	sebagai	batas	waktu	terakhir	1
ditetapkan_tepat_waktu_tapi_realisasi	ditetapkan	tepat	waktu	tapi	realisasi	1
ditetapkan_waktu_pembersihan_kalau_sampai	ditetapkan	waktu	pembersihan	kalau	sampai	1
ditiadakan_hingga_batas_waktu_yang	ditiadakan	hingga	batas	waktu	yang	1
ditilik_tenggang_waktu_penyelengga-raan_pilkada	ditilik	tenggang	waktu	penyelengga-raan	pilkada	1
ditindak-lanjuti_dan_dalam_waktu_akan	ditindak-lanjuti	dan	dalam	waktu	akan	1
ditindaklanjuti_implementasinya_dalam_waktu_dekat	ditindaklanjuti	implementasinya	dalam	waktu	dekat	1
ditinggalkan_untuk_jangka_waktu_tertentu	ditinggalkan	untuk	jangka	waktu	tertentu	1
ditinggalkan_yakni_menyediakan_hari_waktu	ditinggalkan	yakni	menyediakan	hari	waktu	1
ditinggikan_di_satu_waktu_tapi	ditinggikan	di	satu	waktu	tapi	1
ditingkatkan_dalam_waktu_dekat_ini	ditingkatkan	dalam	waktu	dekat	ini	1
ditingkatkan_pada_waktu_sholat_wajib	ditingkatkan	pada	waktu	sholat	wajib	1
ditolerir_dan_diberi_waktu_untuk	ditolerir	dan	diberi	waktu	untuk	1
dituduhkan_sejumlah_pihak_beberap_waktu	dituduhkan	sejumlah	pihak	beberap	waktu	1
dituju_target_waktu_serta_penanggung	dituju	target	waktu	serta	penanggung	1
dituju-kan_ke_alamat_seperti_waktu	dituju-kan	ke	alamat	seperti	waktu	1
ditujukan_ke_ala-mat_seperti_waktu	ditujukan	ke	ala-mat	seperti	waktu	1
ditulis_pada_rentang_waktu_sekitar	ditulis	pada	rentang	waktu	sekitar	1
ditulisnya_dalam_waktu_hanya_sepekan	ditulisnya	dalam	waktu	hanya	sepekan	1
ditunaikan_dalam_waktu_beberapa_jam	ditunaikan	dalam	waktu	beberapa	jam	1
ditunda_guna_memberikan_waktu_kepada	ditunda	guna	memberikan	waktu	kepada	1
ditunda_sampai_batas_waktu_yang	ditunda	sampai	batas	waktu	yang	1
ditunda_sampai_jangka_waktu_bulan	ditunda	sampai	jangka	waktu	bulan	1
ditunda_tanpa_batas_waktu_tandasnya	ditunda	tanpa	batas	waktu	tandasnya	1
ditunda_untuk_sementara_waktu_sambil	ditunda	untuk	sementara	waktu	sambil	1
ditunda_yang_pasti_dalam_waktu	ditunda	yang	pasti	dalam	waktu	1
ditunjau_diberi_waktu_untuk_semua	ditunjau	diberi	waktu	untuk	semua	1
dituntaskan_da-lam_waktu_yang_tidak	dituntaskan	da-lam	waktu	yang	tidak	1
dituntaskan_dalam_waktu_satu_bulan	dituntaskan	dalam	waktu	satu	bulan	1
dituntaskan_pemerin-tah_dalam_waktu_dekat	dituntaskan	pemerin-tah	dalam	waktu	dekat	1
dituntaskan_pemerintah_dalam_waktu_dekat	dituntaskan	pemerintah	dalam	waktu	dekat	1
dituntaskan_sesuai_batas_waktu_yang	dituntaskan	sesuai	batas	waktu	yang	1
dituntut_untuk_terampil_mengatur_waktu	dituntut	untuk	terampil	mengatur	waktu	1
dituntut_waktu_menyanyi_bukan_soal	dituntut	waktu	menyanyi	bukan	soal	1
diturunkan_karena_waktu_kampanye_belum	diturunkan	karena	waktu	kampanye	belum	1
ditutup_dan_dalam_waktu_dekat	ditutup	dan	dalam	waktu	dekat	1
ditutup_hingga_batas_waktu_yang	ditutup	hingga	batas	waktu	yang	1
ditutup_pada_pukul_sore_waktu	ditutup	pada	pukul	sore	waktu	1
ditutup_saat_waktu_salat_tiba	ditutup	saat	waktu	salat	tiba	1
ditutupnya_untuk_se-mentara_waktu_pelayanan	ditutupnya	untuk	se-mentara	waktu	pelayanan	1
diuangkan_mudah_cair_dalam_waktu	diuangkan	mudah	cair	dalam	waktu	1
diuji_coba_dalam_waktu_dekat	diuji	coba	dalam	waktu	dekat	1
diuji_dengan_waktu_bersih_yang	diuji	dengan	waktu	bersih	yang	1
diukur_berkurang_dalam_waktu_tiga	diukur	berkurang	dalam	waktu	tiga	1
diukur_dari_tingkat_ketepatan_waktu	diukur	dari	tingkat	ketepatan	waktu	1
diulang_kembali_dengan_waktu_yang	diulang	kembali	dengan	waktu	yang	1
diulang_setiap_periode_waktu_terten-tu	diulang	setiap	periode	waktu	terten-tu	1
diumum-kan_dalam_waktu_dekat_ini	diumum-kan	dalam	waktu	dekat	ini	1
diumumkan_dalam_tenggang_waktu_satu	diumumkan	dalam	tenggang	waktu	satu	1
diumumkan_dalam_waktu_dekat_ini	diumumkan	dalam	waktu	dekat	ini	1
diumumkan_dalam_waktu_dekat_sehubungan	diumumkan	dalam	waktu	dekat	sehubungan	1
diumumkan_secara_terbuka_beberapa_waktu	diumumkan	secara	terbuka	beberapa	waktu	1
diundang_dalam_pembahasan_waktu_pelaksanaan	diundang	dalam	pembahasan	waktu	pelaksanaan	1
diungsikan_untuk_sementara_waktu_sambil	diungsikan	untuk	sementara	waktu	sambil	1
diuntungkan_dengan_waktu_istirahat_ini	diuntungkan	dengan	waktu	istirahat	ini	1
diuntungkan_karena_hemat_waktu_dan	diuntungkan	karena	hemat	waktu	dan	1
diupayakan_berlangsung_dalam_waktu_dekat	diupayakan	berlangsung	dalam	waktu	dekat	1
diupayakan_dalam_waktu_dekat_sawah	diupayakan	dalam	waktu	dekat	sawah	1
diupayakan_hearing_dilak-sanakan_dalam_waktu	diupayakan	hearing	dilak-sanakan	dalam	waktu	1
diupayakan_tercapai_dalam_rentang_waktu	diupayakan	tercapai	dalam	rentang	waktu	1
diurutan_kedua_dengan_menoreh_waktu	diurutan	kedua	dengan	menoreh	waktu	1
diurutkan_berdasarkan_waktu_terakhir_kali	diurutkan	berdasarkan	waktu	terakhir	kali	1
diusa-hakan_dalam_waktu_dekat_ini	diusa-hakan	dalam	waktu	dekat	ini	1
diusaha-kan_dalam_waktu_dekat_ini	diusaha-kan	dalam	waktu	dekat	ini	1
diusahakan_dipilih_hari-hari_atau_waktu	diusahakan	dipilih	hari-hari	atau	waktu	1
diusir_wasit_dalam_rentang_waktu	diusir	wasit	dalam	rentang	waktu	1
diusulkan_itu_dipastikan_dalam_waktu	diusulkan	itu	dipastikan	dalam	waktu	1
diusulkan_karena_waktu_pengu-sulan_dirinya	diusulkan	karena	waktu	pengu-sulan	dirinya	1
diusulkan_untuk_pergantian_antar_waktu	diusulkan	untuk	pergantian	antar	waktu	1
diusung_dan_membutuhkan_waktu_satu	diusung	dan	membutuhkan	waktu	satu	1
diverifikasi_katanya_kita_diberi_waktu	diverifikasi	katanya	kita	diberi	waktu	1
diwacanakan_beberapa_waktu_lalu_ditemui	diwacanakan	beberapa	waktu	lalu	ditemui	1
diwacanakan_waktu_berjualan_mulai_dari	diwacanakan	waktu	berjualan	mulai	dari	1
diwajibkan_untuk_dalam_waktu_yang	diwajibkan	untuk	dalam	waktu	yang	1
diwawancarai_harian_ini_bebe-rapa_waktu	diwawancarai	harian	ini	bebe-rapa	waktu	1
diwujudkan_karena_mepetnya_waktu_persiapan	diwujudkan	karena	mepetnya	waktu	persiapan	1
djam_waktu_subuh_datang_kawan2	djam	waktu	subuh	datang	kawan2	1
dkk_memastikan_dalam_waktu_dekat	dkk	memastikan	dalam	waktu	dekat	1
doa_yang_dipanjatkan_pada_waktu	doa	yang	dipanjatkan	pada	waktu	1
doing_business_dalam_waktu_sesegera	doing	business	dalam	waktu	sesegera	1
dokter_akhirnya_dia_diberikan_waktu	dokter	akhirnya	dia	diberikan	waktu	1
dokter_diperlukan_waktu_minimum_tahun	dokter	diperlukan	waktu	minimum	tahun	1
dokter_harus_menempuh_waktu_semakin	dokter	harus	menempuh	waktu	semakin	1
dokter_itu_ketika_pada_waktu	dokter	itu	ketika	pada	waktu	1
dokter_kepresi-denan_memutuskan_tentang_waktu	dokter	kepresi-denan	memutuskan	tentang	waktu	1
